12:44:57.380 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 0 to Vm 0 in Host 0/DC 2.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 1 to Vm 1 in Host 0/DC 3.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 2 to Vm 2 in Host 0/DC 4.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 3 to Vm 0 in Host 0/DC 2.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 4 to Vm 1 in Host 0/DC 3.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: Sending Cloudlet 5 to Vm 2 in Host 0/DC 4.
12:44:57.381 [main] INFO  DatacenterBroker - 0.30: DatacenterBrokerSimple1: All 6 waiting Cloudlets submitted to some VM.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 0 finished in Vm 0 and returned to broker.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 3 finished in Vm 0 and returned to broker.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 1 finished in Vm 1 and returned to broker.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 4 finished in Vm 1 and returned to broker.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 2 finished in Vm 2 and returned to broker.
12:44:57.382 [main] INFO  DatacenterBroker - 30.36: DatacenterBrokerSimple1: Cloudlet 5 finished in Vm 2 and returned to broker.
